"filename", "language", "JSON with Comments", "JSON", "TypeScript JSX", "CSS", "JavaScript", "Markdown", "TypeScript", "XML", "HTML", "comment", "blank", "total"
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\StartForm.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 4, 48
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\components\InputTag.tsx", "TypeScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 3, 51
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\components\Intro.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\components\NextButton.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\components\StartPage.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 0, 0, 0, 0, 2, 10, 120
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\StartForm\pagesdata.tsx", "TypeScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\pages\widgets\PopHint.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\src\setupTests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
"d:\大四\前端开发实习学习准备\Frontend-projects\wiredcourse\wiredcourse2\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 17125, 1608, 34, 110, 513, 14, 1, 20, 42, 214, 19707
